SpT,SpTnum,Teff,L,R,M,Mbol,BCv,Mv,B-V,Bt-Vt,G-V,Bp-Rp,G-Rp,M_G,b-y,U-B,V-Rc,V-Ic,V-Ks,J-H,H-Ks,Ks-W1,W1-W2,W1-W3,W1-W4,M_J,M_Ks,i-z,z-Y
A2V,32.0,8840,21.38,1.97,2.05,1.38,-0.10,1.48,0.070,-0.091,0.005,0.068,0.069,1.46,0.038,0.063,0.042,0.091,0.188,-0.010,0.034,0.029,-0.034,-0.067,-0.029,1.32,1.29,,
A3V,33.0,8550,19.50,2.01,2.00,1.49,-0.06,1.55,0.090,-0.109,0.009,0.096,0.084,1.52,0.055,0.077,0.050,0.108,0.228,-0.002,0.034,0.029,-0.033,-0.066,-0.029,1.35,1.32,,
A4V,34.0,8270,15.85,1.94,1.90,1.72,-0.04,1.76,0.140,-0.166,0.020,0.166,0.122,1.73,0.071,0.097,0.078,0.164,0.353,0.022,0.037,0.029,-0.031,-0.059,-0.021,1.47,1.41,,
A5V,35.0,8080,14.45,1.94,1.85,1.81,-0.03,1.84,0.160,-0.185,0.024,0.194,0.137,1.81,0.090,0.100,0.089,0.186,0.403,0.031,0.038,0.029,-0.030,-0.058,-0.021,1.51,1.44,,
A6V,36.0,8000,13.80,1.93,1.83,1.87,-0.02,1.89,0.170,-0.194,0.026,0.208,0.145,1.86,0.099,0.098,0.094,0.197,0.428,0.036,0.038,0.029,-0.030,-0.057,-0.018,1.54,1.46,,
A7V,37.0,7800,11.48,1.86,1.76,2.07,0.00,2.07,0.210,-0.233,0.036,0.263,0.174,2.03,0.107,0.091,0.117,0.242,0.528,0.055,0.040,0.029,-0.030,-0.056,-0.017,1.64,1.54,,
A8V,38.0,7500,9.333,1.81,1.67,2.29,0.00,2.29,0.250,-0.274,0.046,0.320,0.204,2.25,0.132,0.082,0.140,0.288,0.626,0.075,0.042,0.028,-0.028,-0.055,-0.009,1.78,1.66,,
A9V,39.0,7440,9.333,1.84,1.67,2.30,0.00,2.30,0.255,-0.279,0.047,0.327,0.208,2.26,0.145,0.080,0.143,0.294,0.638,0.078,0.043,0.028,-0.028,-0.055,-0.007,1.78,1.66,,
F0V,40.0,7220,7.762,1.79,1.59,2.50,-0.01,2.51,0.290,-0.317,0.060,0.377,0.230,2.46,0.158,0.053,0.166,0.339,0.732,0.098,0.045,0.028,-0.026,-0.050,0.003,1.90,1.76,,
F1V,41.0,7030,5.888,1.64,1.50,2.78,-0.01,2.79,0.330,-0.350,0.079,0.434,0.252,2.73,0.204,0.021,0.190,0.385,0.828,0.119,0.047,0.028,-0.026,-0.047,0.009,2.13,1.96,,
F2V,42.0,6810,5.012,1.61,1.44,2.97,-0.02,2.99,0.370,-0.390,0.093,0.490,0.279,2.92,0.250,-0.008,0.213,0.432,0.925,0.140,0.050,0.028,-0.027,-0.046,0.011,2.26,2.07,,
